user_id,role,department,location,device_type,timestamp,request_type,previous_violations_count,failed_login_count_24h,avg_session_duration,is_privileged_account,account_age_days,label
user_0,devops,apps,US,laptop,2025-11-14T22:05:27.649797,read,0,0,721.0341133024988,0,1214,0
user_1,qa,finance,DE,laptop,2025-07-25T08:01:29.649797,admin,0,0,355.18006296737843,0,1947,0
user_2,hr,hr,SG,mobile,2025-08-15T16:14:46.649797,admin,0,0,144.3002342087991,0,772,0
user_3,qa,hr,DE,server,2025-11-21T04:33:35.649797,admin,0,0,81.7812503709774,0,1713,0
user_4,qa,finance,DE,server,2025-10-29T21:49:18.649797,execute,0,0,22.113879231595355,0,984,0
user_5,admin,finance,SG,mobile,2025-07-27T00:11:53.649797,admin,0,1,54.22673635997555,0,859,0
user_6,hr,finance,DE,laptop,2025-06-30T12:33:28.649797,execute,0,0,1475.2644967409099,0,577,0
user_7,hr,security,SG,mobile,2025-10-24T09:39:47.649797,write,0,0,156.65035933868933,0,864,0
user_8,hr,hr,SG,laptop,2025-08-26T21:47:15.649797,read,0,0,686.8628362785155,0,336,0
user_9,qa,hr,SG,mobile,2025-11-02T11:25:05.649797,write,0,0,56.10473571868867,0,1879,0
user_10,devops,security,US,server,2025-09-05T17:37:33.649797,admin,0,0,166.2039112624447,0,1244,0
user_11,hr,finance,UK,desktop,2025-08-18T20:40:58.649797,read,0,0,969.576670869203,0,1853,0
user_12,qa,apps,US,laptop,2025-09-06T19:09:35.649797,admin,0,2,28.666705949957233,0,660,0
user_13,admin,finance,SG,desktop,2025-10-30T07:43:38.649797,admin,0,1,270.40902309245655,0,612,0
user_14,devops,finance,UK,server,2025-11-26T23:32:38.649797,read,0,1,754.6291830753675,1,1143,0
user_15,admin,security,UK,mobile,2025-06-26T12:56:48.649797,write,0,2,896.8259096786971,0,1645,0
user_16,devops,hr,SG,server,2025-09-19T22:06:51.649797,admin,0,0,561.2553691263286,0,904,0
user_17,qa,finance,UK,desktop,2025-06-23T11:48:05.649797,read,0,1,581.2460256616404,0,82,0
user_18,engineer,hr,UK,server,2025-09-09T21:28:54.649797,write,0,0,316.823600302456,0,1037,0
user_19,devops,platform,US,server,2025-11-23T22:22:27.649797,execute,0,1,74.7011858254015,0,969,0
user_20,admin,hr,UK,mobile,2025-08-21T16:01:20.649797,write,1,0,393.5548832735899,0,1957,1
user_21,qa,apps,SG,desktop,2025-12-02T10:08:17.649797,write,0,0,1150.3028954392964,0,478,0
user_22,devops,apps,IN,desktop,2025-10-09T02:10:51.649797,read,1,0,223.92231081595185,0,299,1
user_23,engineer,finance,IN,desktop,2025-12-02T17:30:12.649797,write,0,1,90.6143742694086,0,92,0
user_24,engineer,hr,IN,laptop,2025-10-31T20:54:44.649797,execute,0,1,255.62252337803992,1,750,0
user_25,hr,finance,SG,server,2025-07-06T04:47:32.649797,execute,0,0,351.94614402471194,0,696,0
user_26,hr,security,IN,desktop,2025-07-29T04:31:35.649797,admin,0,0,70.064362756572,0,1714,0
user_27,admin,apps,US,server,2025-08-27T12:46:07.649797,execute,0,0,381.0224015058444,1,722,0
user_28,devops,finance,SG,mobile,2025-07-18T04:48:51.649797,admin,0,1,265.60689603346106,0,1300,0
